Position	CD15	CD4	NAKATPASE	ASMA	CD8	FOXP3	CD31	PDL1	CD27	CD3	CD56	CD206	GZB	HLAI	CASP3	CD163	CD16	CD45	CD20	LAG3	CD11C	S6	PANCK	HLAII	KI67	CD68	KAPPA	CD14	CD38	PD1	MPO	B2MG	TRYPTASE	LAMBDA	GP100	ANNEXINV	ISOTYPERB	ISOTYPEMU
region_074	Fair	Good	Fair	Fair	Good	Fair	Fair	Poor	Fair	Good	Poor	Fair	Fair	Fair	Good	Fair	Fair	Good	Fair	Poor	Good	Good	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair
region_075	Fair	Poor	Good	Good	Good	Fair	Fair	Fair	Good	Fair	Good	Fair	Good	Good	Fair	Good	Good	Poor	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair
region_076	Good	Good	Good	Good	Fair	Fair	Good	Fair	Fair	Good	Good	Excellent	Fair	Good	Poor	Good	Good	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair
region_077	Good	Fair	Good	Good	Good	Fair	Fair	Fair	Good	Fair	Fair	Fair	Good	Fair	Good	Fair	Good	Fair	Good	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair
region_078	Good	Fair	Good	Fair	Good	Fair	Fair	Fair	Good	Fair	Fair	Fair	Fair	Fair	Poor	Good	Good	Good	Good	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair
region_079	Fair	Good	Excellent	Good	Fair	Good	Good	Fair	Good	Good	Good	Excellent	Good	Excellent	Poor	Good	Good	Good	Good	Poor	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Excellent	Good	Good	Good	Good	Good	Good
region_080	Good	Fair	Good	Fair	Poor	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Fair	Fair	Good	Fair	Fair	Good	Fair	Poor	Good	Good	Good	Poor	Good	Fair	Fair	Good	Good	Good
region_081	Fair	Fair	Fair	Good	Good	Good	Good	Fair	Fair	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair
region_082	Good	Fair	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Fair	Fair	Good	Good	Fair	Good	Fair	Good	Good	Fair	Excellent	Fair	Fair	Fair	Good	Good	Fair	Fair	Good	Good	Fair	Fair	Good	Good
region_083	Fair	Fair	Good	Fair	Poor	Fair	Good	Good	Fair	Good	Fair	Fair	Fair	Good	Fair	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Fair	Good	Good	Fair	Fair	Good	Fair	Fair	Good	Good	Good	Good	Good
